fecha,value
2023-04-05 13:27:45,4566.8117
2023-04-05 13:27:47,4566.7958
2023-04-05 13:27:49,4566.7795
2023-04-05 13:27:52,4566.7236
2023-04-05 13:27:53,4566.6692
2023-04-05 13:27:58,4566.5546
2023-04-05 13:28:00,4566.4575
2023-04-05 13:28:27,4566.4442
2023-04-05 13:28:39,4566.4309
2023-04-05 13:28:43,4566.398
2023-04-05 13:28:50,4566.385
2023-04-05 13:28:55,4566.3333
2023-04-05 13:29:03,4566.3215
2023-04-05 13:29:13,4566.3032
2023-04-05 13:29:14,4566.2922
2023-04-05 13:29:22,4566.2561
2023-04-05 13:29:26,4566.2518
2023-04-05 13:29:35,4566.2321
2023-04-05 13:29:36,4566.2313
2023-04-05 13:29:37,4566.2328
2023-04-05 13:29:38,4566.2352
2023-04-05 13:29:40,4566.2375
2023-04-05 13:29:42,4566.2398
2023-04-05 13:29:45,4566.2421
2023-04-05 13:30:28,4566.2414
2023-04-05 13:30:50,4566.2399
2023-04-05 13:31:03,4566.2392
2023-04-05 13:31:04,4566.2404
2023-04-05 13:31:11,4566.2416
2023-04-05 13:31:28,4566.2379
2023-04-05 13:31:32,4566.2351
2023-04-05 13:31:34,4566.2297
2023-04-05 13:32:21,4566.2211
2023-04-05 13:32:27,4566.2205
2023-04-05 13:33:29,4566.2145
2023-04-05 13:33:46,4566.2112
2023-04-05 13:33:48,4566.2117
2023-04-05 13:34:10,4566.2084
2023-04-05 13:34:21,4566.199
2023-04-05 13:34:25,4566.1806
2023-04-05 13:34:39,4566.1531
2023-04-05 13:34:42,4566.1363
2023-04-05 13:34:57,4566.1279
2023-04-05 13:35:44,4566.0013
2023-04-05 13:35:45,4565.99
2023-04-05 13:35:46,4565.9671
2023-04-05 13:35:47,4565.9331
2023-04-05 13:35:51,4565.8885
2023-04-05 13:35:53,4565.8449
2023-04-05 13:36:07,4565.8127
2023-04-05 13:36:10,4565.7915
2023-04-05 13:36:22,4565.7499
2023-04-05 13:36:23,4565.7293
2023-04-05 13:37:27,4565.7203
2023-04-05 13:38:39,4565.7152
2023-04-05 13:39:34,4565.7065
2023-04-05 13:39:35,4565.6976
2023-04-05 13:40:05,4565.6849
2023-04-05 13:40:13,4565.6799
2023-04-05 13:40:14,4565.675
2023-04-05 13:40:15,4565.6701
2023-04-05 13:40:16,4565.6506
2023-04-05 13:40:17,4565.6456
2023-04-05 13:40:18,4565.6266
2023-04-05 13:40:21,4565.6126
2023-04-05 13:40:27,4565.5849
2023-04-05 13:40:28,4565.5487
2023-04-05 13:40:41,4565.543
2023-04-05 13:40:46,4565.5271
2023-04-05 13:41:00,4565.5092
2023-04-05 13:41:03,4565.5014
2023-04-05 13:41:26,4565.4855
2023-04-05 13:41:35,4565.4803
2023-04-05 13:41:37,4565.4646
2023-04-05 13:41:38,4565.4595
2023-04-05 13:41:41,4565.4441
2023-04-05 13:42:04,4565.4391
2023-04-05 13:42:05,4565.434
2023-04-05 13:42:14,4565.429
2023-04-05 13:42:24,4565.424
2023-04-05 13:42:49,4565.3678
2023-04-05 13:43:05,4565.3628
2023-04-05 13:43:12,4565.3346
2023-04-05 13:44:55,4565.2886
2023-04-05 13:44:57,4565.2862
2023-04-05 13:44:59,4565.2789
2023-04-05 13:45:04,4565.2763
2023-04-05 13:45:20,4565.2563
2023-04-05 13:45:24,4565.2646
2023-04-05 13:45:27,4565.2675
2023-04-05 13:45:31,4565.3022
2023-04-05 13:45:35,4565.3074
2023-04-05 13:48:01,4565.3107
2023-04-05 13:48:05,4565.3204
2023-04-05 13:48:06,4565.3604
2023-04-05 13:48:50,4565.3564
2023-04-05 13:49:01,4565.3558
2023-04-05 13:49:15,4565.35
2023-04-05 13:49:16,4565.3494
2023-04-05 13:49:18,4565.3462
2023-04-05 13:49:19,4565.3456
2023-04-05 13:49:26,4565.3452
2023-04-05 13:50:39,4565.341
2023-04-05 13:50:53,4565.3316
2023-04-05 13:52:26,4565.3323
2023-04-05 13:52:29,4565.3334
2023-04-05 13:52:53,4565.3322
2023-04-05 13:52:54,4565.3702
2023-04-05 13:52:58,4565.3748
2023-04-05 13:53:00,4565.4191
2023-04-05 13:53:03,4565.4234
2023-04-05 13:56:38,4565.4287
2023-04-05 13:56:44,4565.434
2023-04-05 13:56:45,4565.4366
2023-04-05 13:57:15,4565.4418
2023-04-05 13:58:18,4565.4723
2023-04-05 13:58:22,4565.4773
2023-04-05 13:58:24,4565.4968
2023-04-05 13:58:46,4565.5111
2023-04-05 13:58:54,4565.5199
2023-04-05 13:58:57,4565.5228
2023-04-05 13:59:31,4565.5258
2023-04-05 14:00:08,4565.5242
2023-04-05 14:00:10,4565.522
2023-04-05 14:00:15,4565.5204
2023-04-05 14:00:45,4565.5189
2023-04-05 14:00:46,4565.5173
2023-04-05 14:01:04,4565.5082
2023-04-05 14:01:05,4565.5052
2023-04-05 14:01:06,4565.5021
2023-04-05 14:01:07,4565.5006
2023-04-05 14:03:09,4565.5014
2023-04-05 14:03:12,4565.5021
2023-04-05 14:03:16,4565.5076
2023-04-05 14:03:19,4565.5111
2023-04-05 14:03:20,4565.5147
2023-04-05 14:03:23,4565.5186
2023-04-05 14:03:25,4565.5237
2023-04-05 14:03:39,4565.5287
2023-04-05 14:03:40,4565.6524
2023-04-05 14:04:01,4565.6469
2023-04-05 14:04:41,4565.6535
2023-04-05 14:05:11,4565.6628
2023-04-05 14:05:20,4565.6809
2023-04-05 14:05:22,4565.6898
2023-04-05 14:05:32,4565.6987
2023-04-05 14:05:39,4565.6992
2023-04-05 14:07:09,4565.7113
2023-04-05 14:07:15,4565.7234
